Alcool;Acido_Malico;CTM;Alcanalidade_Cinzas;Maginesio;Fenois_Totais;Flavonoides;Fenois_Nao_Flavonoides;Proantocianidinas;Intensidade_Cor;Ton_Cor;OD280/OD315_Vinhos_Diluidos;Prolina;Alvo
1423;171;243;156;127;28;306;28;229;564;104;392;1065;0
132;178;214;112;100;265;276;26;128;438;105;34;1050;0
1316;236;267;186;101;28;324;3;281;568;103;317;1185;0
1437;195;25;168;113;385;349;24;218;78;86;345;1480;0
1324;259;287;21;118;28;269;39;182;432;104;293;735;0
142;176;245;152;112;327;339;34;197;675;105;285;1450;0
1439;187;245;146;96;25;252;3;198;525;102;358;1290;0
1406;215;261;176;121;26;251;31;125;505;106;358;1295;0
1483;164;217;14;97;28;298;29;198;52;108;285;1045;0
1386;135;227;16;98;298;315;22;185;722;101;355;1045;0
141;216;23;18;105;295;332;22;238;575;125;317;1510;0
1412;148;232;168;95;22;243;26;157;5;117;282;1280;0
1375;173;241;16;89;26;276;29;181;56;115;29;1320;0
1475;173;239;114;91;31;369;43;281;54;125;273;1150;0
1438;187;238;12;102;33;364;29;296;75;12;3;1547;0
1363;181;27;172;112;285;291;3;146;73;128;288;1310;0
143;192;272;20;120;28;314;33;197;62;107;265;1280;0
1383;157;262;20;115;295;34;4;172;66;113;257;1130;0
1419;159;248;165;108;33;393;32;186;87;123;282;1680;0
1364;31;256;152;116;27;303;17;166;51;96;336;845;0
1406;163;228;16;126;3;317;24;21;565;109;371;780;0
1293;38;265;186;102;241;241;25;198;45;103;352;770;0
1371;186;236;166;101;261;288;27;169;38;111;4;1035;0
1285;16;252;178;95;248;237;26;146;393;109;363;1015;0
135;181;261;20;96;253;261;28;166;352;112;382;845;0
1305;205;322;25;124;263;268;47;192;358;113;32;830;0
1339;177;262;161;93;285;294;34;145;48;92;322;1195;0
133;172;214;17;94;24;219;27;135;395;102;277;1285;0
1387;19;28;194;107;295;297;37;176;45;125;34;915;0
1402;168;221;16;96;265;233;26;198;47;104;359;1035;0
1373;15;27;225;101;3;325;29;238;57;119;271;1285;0
1358;166;236;191;106;286;319;22;195;69;109;288;1515;0
1368;183;236;172;104;242;269;42;197;384;123;287;990;0
1376;153;27;195;132;295;274;5;135;54;125;3;1235;0
1351;18;265;19;110;235;253;29;154;42;11;287;1095;0
1348;181;241;205;100;27;298;26;186;51;104;347;920;0
1328;164;284;155;110;26;268;34;136;46;109;278;880;0
1305;165;255;18;98;245;243;29;144;425;112;251;1105;0
1307;15;21;155;98;24;264;28;137;37;118;269;1020;0
1422;399;251;132;128;3;304;2;208;51;89;353;760;0
1356;171;231;162;117;315;329;34;234;613;95;338;795;0
1341;384;212;188;90;245;268;27;148;428;91;3;1035;0
1388;189;259;15;101;325;356;17;17;543;88;356;1095;0
1324;398;229;175;103;264;263;32;166;436;82;3;680;0
1305;177;21;17;107;3;3;28;203;504;88;335;885;0
1421;404;244;189;111;285;265;3;125;524;87;333;1080;0
1438;359;228;16;102;325;317;27;219;49;104;344;1065;0
139;168;212;16;101;31;339;21;214;61;91;333;985;0
141;202;24;188;103;275;292;32;238;62;107;275;1060;0
1394;173;227;174;108;288;354;32;208;89;112;31;1260;0
1305;173;204;124;92;272;327;17;291;72;112;291;1150;0
1383;165;26;172;94;245;299;22;229;56;124;337;1265;0
1382;175;242;14;111;388;374;32;187;705;101;326;1190;0
1377;19;268;171;115;3;279;39;168;63;113;293;1375;0
1374;167;225;164;118;26;29;21;162;585;92;32;1060;0
1356;173;246;205;116;296;278;2;245;625;98;303;1120;0
1422;17;23;163;118;32;3;26;203;638;94;331;970;0
1329;197;268;168;102;3;323;31;166;6;107;284;1270;0
1372;143;25;167;108;34;367;19;204;68;89;287;1285;0
1237;94;136;106;88;198;57;28;42;195;105;182;520;1
1233;11;228;16;101;205;109;63;41;327;125;167;680;1
1264;136;202;168;100;202;141;53;62;575;98;159;450;1
1367;125;192;18;94;21;179;32;73;38;123;246;630;1
1237;113;216;19;87;35;31;19;187;445;122;287;420;1
1217;145;253;19;104;189;175;45;103;295;145;223;355;1
1237;121;256;181;98;242;265;37;208;46;119;23;678;1
1311;101;17;15;78;298;318;26;228;53;112;318;502;1
1237;117;192;196;78;211;2;27;104;468;112;348;510;1
1334;94;236;17;110;253;13;55;42;317;102;193;750;1
